Epoch, Log-likelihood, Accuracy, RMSE
1, -1.17095,  0.51848,  17.45766
2, -1.18183,  0.52368,  17.45559
3, -1.20678,  0.53228,  17.45474
4, -1.24909,  0.53668,  17.45497
5, -1.26144,  0.56360,  17.45684
6, -1.27681,  0.58110,  17.45812
7, -1.27524,  0.60019,  17.46167
8, -1.28758,  0.60405,  17.46163
9, -1.23752,  0.61290,  17.46321
10, -1.22170,  0.61141,  17.46146
11, -1.24543,  0.61136,  17.46281
12, -1.18470,  0.61043,  17.45915
13, -1.23279,  0.60961,  17.46376
14, -1.18716,  0.61173,  17.46084
15, -1.22710,  0.61079,  17.46593
16, -1.23869,  0.61099,  17.46378
17, -1.21640,  0.61145,  17.46409
18, -1.20103,  0.61143,  17.46772
19, -1.16757,  0.61141,  17.46541
20, -1.23266,  0.61075,  17.46867
21, -1.21849,  0.61106,  17.46851
22, -1.23473,  0.61121,  17.46968
23, -1.19961,  0.61080,  17.47224
24, -1.18521,  0.61114,  17.46691
25, -1.21953,  0.61097,  17.46869
26, -1.20396,  0.61048,  17.47030
27, -1.21269,  0.61127,  17.46774
28, -1.21757,  0.61089,  17.47087
29, -1.21115,  0.60876,  17.47090
30, -1.21228,  0.61088,  17.47282
31, -1.21216,  0.61034,  17.47129
32, -1.22008,  0.60994,  17.47033
33, -1.22025,  0.60931,  17.47125
34, -1.22175,  0.61013,  17.47226
35, -1.22475,  0.60989,  17.47195
36, -1.19739,  0.60934,  17.47187
37, -1.19921,  0.60880,  17.47102
38, -1.18749,  0.60844,  17.47054
39, -1.20679,  0.60868,  17.47903
40, -1.19783,  0.60923,  17.46994
41, -1.18360,  0.60871,  17.47140
42, -1.18098,  0.60915,  17.47268
43, -1.19341,  0.60883,  17.47113
44, -1.19024,  0.60877,  17.47188
45, -1.19326,  0.60874,  17.47191
46, -1.18582,  0.60848,  17.47234
47, -1.18513,  0.60882,  17.47208
48, -1.17406,  0.60859,  17.47206
49, -1.17424,  0.60899,  17.47192
50, -1.17688,  0.60861,  17.47072
51, -1.16987,  0.60833,  17.47185
52, -1.18211,  0.60843,  17.47112
53, -1.17444,  0.60860,  17.47178
54, -1.18041,  0.60882,  17.47075
55, -1.17607,  0.60850,  17.47109
56, -1.17842,  0.60848,  17.47070
57, -1.17144,  0.60855,  17.47129
58, -1.16672,  0.60860,  17.47148
59, -1.16778,  0.60850,  17.47039
60, -1.17049,  0.60845,  17.47023
61, -1.16627,  0.60860,  17.47085
62, -1.16713,  0.60867,  17.47065
63, -1.16954,  0.60855,  17.47022
64, -1.17058,  0.60862,  17.47049
65, -1.16797,  0.60864,  17.47076
66, -1.16994,  0.60851,  17.47053
67, -1.16952,  0.60872,  17.47106
68, -1.16645,  0.60864,  17.47149
69, -1.16943,  0.60865,  17.47099
70, -1.16822,  0.60870,  17.47110
71, -1.16968,  0.60853,  17.47083
72, -1.16798,  0.60845,  17.47085
73, -1.17033,  0.60866,  17.47085
74, -1.16552,  0.60870,  17.47127
75, -1.17072,  0.60859,  17.47061
76, -1.16832,  0.60848,  17.47083
77, -1.17120,  0.60860,  17.47065
78, -1.16676,  0.60857,  17.47091
79, -1.16624,  0.60864,  17.47085
80, -1.16515,  0.60868,  17.47096
81, -1.16710,  0.60874,  17.47070
82, -1.16646,  0.60873,  17.47076
83, -1.16567,  0.60877,  17.47078
84, -1.16732,  0.60877,  17.47065
85, -1.16671,  0.60865,  17.47067
86, -1.16625,  0.60873,  17.47096
87, -1.16642,  0.60868,  17.47095
88, -1.16764,  0.60868,  17.47082
89, -1.16706,  0.60872,  17.47079
90, -1.16598,  0.60877,  17.47099
91, -1.16540,  0.60872,  17.47103
92, -1.16582,  0.60872,  17.47091
93, -1.16618,  0.60866,  17.47076
94, -1.16587,  0.60876,  17.47073
95, -1.16544,  0.60872,  17.47073
96, -1.16644,  0.60871,  17.47058
97, -1.16583,  0.60873,  17.47060
98, -1.16554,  0.60872,  17.47065
99, -1.16530,  0.60873,  17.47068
100, -1.16595,  0.60873,  17.47058
