Epoch, Log-likelihood, Accuracy, RMSE
1, -27.60852,  0.01149,  1942.69919
2, -15.88831,  0.01284,  1879.10410
3, -11.22929,  0.01293,  1852.61865
4, -12.68762,  0.01360,  1807.05811
5, -8.73918,  0.01092,  1740.83439
6, -9.40383,  0.01159,  1663.44119
7, -10.44229,  0.01293,  1592.24226
8, -8.83315,  0.01437,  1405.16353
9, -10.80142,  0.01475,  1357.08588
10, -7.71447,  0.01418,  1545.32866
11, -6.00953,  0.01370,  1373.06703
12, -6.07246,  0.01293,  1250.89896
13, -3.94692,  0.01427,  1335.55900
14, -5.12246,  0.01351,  1277.81059
15, -5.23853,  0.01303,  1252.40386
16, -4.56034,  0.01360,  1199.73842
17, -4.32002,  0.01360,  1261.30696
18, -3.86735,  0.01427,  1235.38579
19, -3.11769,  0.01408,  1181.99730
20, -2.95017,  0.01408,  1236.60380
21, -2.60597,  0.01408,  1339.20604
22, -2.62231,  0.01427,  1178.35055
23, -2.88667,  0.01408,  1164.96150
24, -2.47463,  0.01418,  1169.94585
25, -2.93885,  0.01418,  1308.54331
26, -2.41170,  0.01418,  1212.79066
27, -2.48518,  0.01418,  1168.44730
28, -3.48754,  0.01418,  1158.49148
29, -1.94737,  0.01533,  1190.77944
30, -2.22299,  0.01456,  1165.74886
31, -1.80722,  0.01456,  1163.09620
32, -1.68778,  0.01437,  1160.91213
33, -1.56744,  0.01456,  1163.90717
34, -1.70289,  0.01466,  1169.22720
35, -1.60712,  0.01437,  1160.61071
36, -1.46133,  0.01456,  1149.51818
37, -1.86634,  0.01446,  1149.30818
38, -1.41768,  0.01466,  1147.95426
39, -1.83372,  0.01485,  1134.90380
40, -2.21805,  0.01351,  1147.73561
41, -2.05822,  0.01485,  1150.87318
42, -1.97245,  0.01466,  1144.96710
43, -1.79393,  0.01485,  1143.46180
44, -1.61846,  0.01475,  1139.46443
45, -1.74744,  0.01475,  1137.27688
46, -1.86502,  0.01389,  1138.49377
47, -1.82561,  0.01389,  1141.12440
48, -1.97579,  0.01408,  1142.34520
49, -1.68237,  0.01418,  1151.61391
50, -1.83150,  0.01389,  1155.97939
51, -1.61699,  0.01475,  1145.26898
52, -1.52157,  0.01475,  1144.24901
53, -1.63953,  0.01475,  1140.52237
54, -1.62114,  0.01475,  1140.81725
55, -1.77637,  0.01485,  1134.80454
56, -1.69827,  0.01466,  1129.50547
57, -1.79379,  0.01475,  1138.65759
58, -1.85461,  0.01466,  1136.83169
59, -1.80588,  0.01466,  1137.98265
60, -1.86014,  0.01485,  1133.43076
61, -1.75798,  0.01485,  1131.39982
62, -1.74771,  0.01475,  1133.37680
63, -1.77577,  0.01475,  1132.22806
64, -1.70929,  0.01475,  1130.61498
65, -1.75380,  0.01475,  1130.29077
66, -1.73856,  0.01475,  1129.95552
67, -1.68888,  0.01475,  1128.56279
68, -1.67457,  0.01475,  1131.22711
69, -1.68179,  0.01475,  1130.48442
70, -1.64215,  0.01475,  1128.51315
71, -1.67447,  0.01475,  1129.71256
72, -1.68880,  0.01475,  1130.36491
73, -1.66945,  0.01475,  1130.78672
74, -1.64472,  0.01475,  1133.42183
75, -1.66285,  0.01475,  1134.47192
76, -1.61872,  0.01475,  1134.45708
77, -1.63325,  0.01475,  1136.49768
78, -1.64908,  0.01475,  1132.88037
79, -1.61062,  0.01475,  1131.61929
80, -1.61417,  0.01475,  1131.45368
81, -1.64537,  0.01475,  1131.74994
82, -1.58091,  0.01475,  1130.70320
83, -1.57682,  0.01475,  1130.50175
84, -1.61557,  0.01475,  1131.03730
85, -1.63855,  0.01475,  1130.99522
86, -1.61708,  0.01485,  1131.94263
87, -1.59432,  0.01485,  1132.55719
88, -1.68483,  0.01485,  1132.00901
89, -1.63792,  0.01485,  1132.52072
90, -1.60464,  0.01475,  1132.21342
91, -1.62166,  0.01475,  1132.06754
92, -1.64166,  0.01475,  1131.95422
93, -1.56395,  0.01475,  1131.71407
94, -1.59756,  0.01475,  1132.24527
95, -1.58664,  0.01475,  1132.37452
96, -1.59074,  0.01475,  1132.39919
97, -1.62973,  0.01475,  1131.80744
98, -1.56080,  0.01485,  1131.99224
99, -1.60307,  0.01475,  1131.61339
100, -1.61807,  0.01485,  1131.50810
