Epoch, Log-likelihood, Accuracy, RMSE
1, -0.32451,  0.64535,  0.85173
2, -0.23597,  0.72093,  0.83502
3, -0.12173,  0.73837,  0.81815
4, -0.00965,  0.75581,  0.82732
5,  0.12351,  0.77326,  0.80342
6,  0.27706,  0.78488,  0.81719
7,  0.36205,  0.79070,  0.81422
8,  0.42237,  0.79070,  0.82127
9,  0.49168,  0.79651,  0.83044
10,  0.55764,  0.79070,  0.83032
11,  0.58697,  0.81977,  0.84879
12,  0.60365,  0.83140,  0.84099
13,  0.62875,  0.81977,  0.84547
14,  0.65240,  0.83721,  0.84257
15,  0.67710,  0.82558,  0.85233
16,  0.69599,  0.83721,  0.85040
17,  0.71309,  0.83140,  0.85218
18,  0.71008,  0.82558,  0.84573
19,  0.73396,  0.83140,  0.84588
20,  0.75583,  0.83721,  0.85712
21,  0.75214,  0.83140,  0.85513
22,  0.76539,  0.83140,  0.85846
23,  0.77084,  0.83721,  0.85571
24,  0.77974,  0.83140,  0.85647
25,  0.78237,  0.83140,  0.85566
26,  0.78945,  0.83140,  0.86011
27,  0.79283,  0.83140,  0.85526
28,  0.80099,  0.83140,  0.86072
29,  0.80540,  0.83140,  0.85494
30,  0.81121,  0.84302,  0.85689
31,  0.81162,  0.83140,  0.85400
32,  0.81519,  0.83721,  0.85529
33,  0.81863,  0.83721,  0.85607
34,  0.81927,  0.83140,  0.85534
35,  0.82609,  0.83140,  0.85777
36,  0.82475,  0.83140,  0.85741
37,  0.82835,  0.83140,  0.85745
38,  0.83271,  0.83140,  0.85748
39,  0.83114,  0.83140,  0.85594
40,  0.83507,  0.83140,  0.85857
41,  0.83744,  0.83140,  0.85785
42,  0.83867,  0.83140,  0.85750
43,  0.83895,  0.83140,  0.85826
44,  0.83963,  0.83140,  0.85750
45,  0.83933,  0.83140,  0.85679
46,  0.84307,  0.83140,  0.85693
47,  0.84372,  0.83140,  0.85683
48,  0.84468,  0.83140,  0.85744
49,  0.84444,  0.83140,  0.85731
50,  0.84464,  0.83140,  0.85622
51,  0.84812,  0.83140,  0.85743
52,  0.84769,  0.83140,  0.85696
53,  0.84820,  0.83140,  0.85705
54,  0.84809,  0.83140,  0.85685
55,  0.84933,  0.83140,  0.85674
56,  0.85067,  0.83140,  0.85656
57,  0.85149,  0.83140,  0.85626
58,  0.85083,  0.83140,  0.85689
59,  0.85353,  0.83140,  0.85695
60,  0.85372,  0.83140,  0.85712
61,  0.85425,  0.83140,  0.85710
62,  0.85504,  0.83140,  0.85715
63,  0.85577,  0.83140,  0.85705
64,  0.85667,  0.83140,  0.85698
65,  0.85487,  0.83140,  0.85684
66,  0.85634,  0.83140,  0.85710
67,  0.85579,  0.83140,  0.85693
68,  0.85574,  0.83140,  0.85717
69,  0.85757,  0.83140,  0.85734
70,  0.85740,  0.83140,  0.85747
71,  0.85764,  0.83140,  0.85733
72,  0.85781,  0.83140,  0.85723
73,  0.85781,  0.83140,  0.85735
74,  0.85627,  0.83140,  0.85731
75,  0.85927,  0.83140,  0.85726
76,  0.85704,  0.83140,  0.85727
77,  0.85820,  0.83140,  0.85737
78,  0.85926,  0.83140,  0.85740
79,  0.85818,  0.83140,  0.85735
80,  0.85835,  0.83140,  0.85733
81,  0.85894,  0.83140,  0.85743
82,  0.85837,  0.83140,  0.85744
83,  0.85941,  0.83140,  0.85741
84,  0.85837,  0.83140,  0.85747
85,  0.85856,  0.83140,  0.85747
86,  0.85780,  0.83140,  0.85742
87,  0.85886,  0.83140,  0.85742
88,  0.85838,  0.83140,  0.85739
89,  0.85860,  0.83140,  0.85738
90,  0.85758,  0.83140,  0.85742
91,  0.85853,  0.83140,  0.85744
92,  0.85936,  0.83140,  0.85744
93,  0.86034,  0.83140,  0.85742
94,  0.85947,  0.83140,  0.85744
95,  0.85895,  0.83140,  0.85742
96,  0.85926,  0.83140,  0.85741
97,  0.85871,  0.83140,  0.85745
98,  0.86012,  0.83140,  0.85743
99,  0.86007,  0.83140,  0.85746
100,  0.86052,  0.83140,  0.85745
