Epoch, Log-likelihood, Accuracy, RMSE
1, -8.64807,  0.46431,  35171.41223
2, -8.59632,  0.49083,  35171.41484
3, -8.50508,  0.49083,  35171.42533
4, -8.41184,  0.49083,  35171.41416
5, -14.48610,  0.46431,  35171.41387
6, -14.45217,  0.46431,  35171.41430
7, -14.40528,  0.46431,  35171.43058
8, -14.38931,  0.46431,  35171.41372
9, -14.27565,  0.49327,  35171.42114
10, -15.18107,  0.46431,  35171.41383
11, -14.56491,  0.46431,  35171.41659
12, -14.44214,  0.46431,  35171.41327
13, -20.72327,  0.46431,  35171.47145
14, -37.52169,  0.46431,  35171.49899
15, -30.43341,  0.46431,  35171.57178
16, -14.73687,  0.46431,  35171.44358
17, -7.45790,  0.51567,  35171.42033
18, -25.92925,  0.46431,  35171.68170
19, -18.77774,  0.46431,  35171.62962
20, -17.04210,  0.46431,  35171.52940
21, -111.52665,  0.46431,  35171.72250
22, -8.17346,  0.46431,  35171.45726
23, -12.77776,  0.50369,  35171.41337
24, -6.12905,  0.49083,  35171.41391
25, -6.07587,  0.46431,  35171.42437
26, -6.05929,  0.49540,  35171.50461
27, -67.57188,  0.46431,  35171.59212
28, -48.33172,  0.46431,  35171.63079
29, -36.40884,  0.46431,  35171.69221
30, -32.41741,  0.46431,  35171.80785
31, -27.22629,  0.46431,  35171.88828
32, -46.10052,  0.46431,  35171.95181
33, -22.62620,  0.46669,  35171.76935
34, -19.76298,  0.47216,  35172.03710
35, -16.03235,  0.48421,  35171.96010
36, -8.04357,  0.51392,  35171.59561
37, -4.84209,  0.53491,  35171.14838
38, -4.88864,  0.51143,  35171.46972
39, -7.32545,  0.50355,  35171.52400
40, -4.50301,  0.51595,  35171.51227
41, -4.20483,  0.52465,  35171.21741
42, -3.89799,  0.52997,  35171.16627
43, -3.82147,  0.53587,  35171.16442
44, -4.09575,  0.52419,  35170.78510
45, -3.94732,  0.53920,  35170.57215
46, -3.88070,  0.54004,  35169.94828
47, -3.70118,  0.53813,  35170.59799
48, -3.93101,  0.52837,  35170.20203
49, -3.79055,  0.53541,  35169.83157
50, -3.69574,  0.52519,  35169.99498
51, -3.68042,  0.52226,  35169.66113
52, -3.66141,  0.53555,  35169.59413
53, -3.60426,  0.51663,  35169.33050
54, -3.71016,  0.52312,  35169.51844
55, -3.72393,  0.52172,  35169.13722
56, -3.78329,  0.52310,  35169.25185
57, -3.85961,  0.53825,  35169.06337
58, -3.74077,  0.51843,  35168.89656
59, -3.65138,  0.51283,  35169.52489
60, -3.92115,  0.52050,  35169.64961
61, -3.64206,  0.53691,  35169.47254
62, -3.68632,  0.52314,  35169.42140
63, -3.86086,  0.51637,  35169.71353
64, -3.69040,  0.53037,  35169.99555
65, -3.72402,  0.53216,  35170.01687
66, -3.69947,  0.53604,  35170.18977
67, -3.65555,  0.53702,  35170.70283
68, -3.76874,  0.52047,  35170.63485
69, -3.60132,  0.52225,  35170.25395
70, -3.57659,  0.53095,  35169.48934
71, -3.65228,  0.53996,  35170.57076
72, -3.58267,  0.53394,  35170.18739
73, -3.64472,  0.53733,  35170.42504
74, -3.63714,  0.54051,  35170.18857
75, -3.55172,  0.53766,  35170.09576
76, -3.61268,  0.51909,  35170.05624
77, -3.62919,  0.54133,  35169.93660
78, -3.60722,  0.53968,  35170.22340
79, -3.56685,  0.54061,  35170.24743
80, -3.57679,  0.53569,  35170.66473
81, -3.55412,  0.53733,  35170.13399
82, -3.57845,  0.53958,  35170.40859
83, -3.56412,  0.53537,  35170.43571
84, -3.54198,  0.53699,  35170.06273
85, -3.55552,  0.53596,  35170.16055
86, -3.53483,  0.53652,  35170.40171
87, -3.56415,  0.53252,  35170.20762
88, -3.58938,  0.53726,  35170.04166
89, -3.60084,  0.53233,  35170.06096
90, -3.58367,  0.54036,  35170.40450
91, -3.56861,  0.53874,  35170.22070
92, -3.56986,  0.53898,  35170.13150
93, -3.55659,  0.53665,  35170.05442
94, -3.55798,  0.53778,  35170.18250
95, -3.52966,  0.53814,  35170.04201
96, -3.54276,  0.53775,  35170.10849
97, -3.50361,  0.53982,  35169.83113
98, -3.51783,  0.53821,  35170.02568
99, -3.54863,  0.53647,  35169.89048
100, -3.54454,  0.53879,  35170.07267
