Epoch, Log-likelihood, Accuracy, RMSE
1, -0.75947,  0.42894,  123.37347
2, -0.74930,  0.42816,  115.62325
3, -0.74322,  0.42895,  112.78635
4, -0.74040,  0.42717,  110.99682
5, -0.73823,  0.42864,  112.55388
6, -0.73421,  0.42892,  112.79939
7, -0.73737,  0.42880,  112.23685
8, -0.73110,  0.42868,  110.07175
9, -0.73132,  0.42886,  109.03355
10, -0.73234,  0.42891,  110.45023
11, -0.73013,  0.42887,  110.81201
12, -0.72737,  0.42889,  107.96746
13, -0.72927,  0.42875,  109.87457
14, -0.72827,  0.42880,  109.90224
15, -0.72707,  0.42865,  108.93591
16, -0.72636,  0.42740,  111.94927
17, -0.72744,  0.42894,  111.13875
18, -0.72885,  0.42872,  111.45427
19, -0.72783,  0.42868,  111.23909
20, -0.72523,  0.42837,  113.90751
21, -0.72412,  0.42895,  108.89579
22, -0.72265,  0.42893,  110.22135
23, -0.72331,  0.42888,  108.13129
24, -0.72190,  0.42893,  108.68868
25, -0.72489,  0.42894,  110.41816
26, -0.71977,  0.42894,  107.61711
27, -0.72195,  0.42894,  108.64286
28, -0.72138,  0.42894,  108.70446
29, -0.72140,  0.42894,  109.92315
30, -0.72264,  0.42894,  111.58867
31, -0.71880,  0.42894,  108.12527
32, -0.71937,  0.42894,  108.09175
33, -0.71873,  0.42850,  107.85220
34, -0.71845,  0.42894,  108.27882
35, -0.71839,  0.42896,  107.76753
36, -0.71810,  0.42894,  108.88286
37, -0.71796,  0.42896,  107.97577
38, -0.71637,  0.42894,  107.84634
39, -0.71715,  0.42894,  107.91012
40, -0.71675,  0.42895,  108.03931
41, -0.71612,  0.42895,  108.12820
42, -0.71504,  0.42898,  107.94549
43, -0.71618,  0.42895,  108.27125
44, -0.71635,  0.42894,  109.05898
45, -0.71678,  0.42895,  108.68975
46, -0.71461,  0.42896,  107.88425
47, -0.71595,  0.42896,  108.14048
48, -0.71454,  0.42895,  108.29933
49, -0.71424,  0.42895,  107.87101
50, -0.71463,  0.42895,  108.61511
51, -0.71396,  0.42896,  107.92926
52, -0.71425,  0.42896,  108.30932
53, -0.71447,  0.42898,  108.38425
54, -0.71473,  0.42895,  108.41268
55, -0.71493,  0.42896,  109.10561
56, -0.71359,  0.42896,  107.88397
57, -0.71435,  0.42896,  108.10184
58, -0.71403,  0.42896,  108.34944
59, -0.71462,  0.42895,  108.89595
60, -0.71414,  0.42895,  108.15843
61, -0.71377,  0.42896,  108.35237
62, -0.71395,  0.42896,  108.47624
63, -0.71317,  0.42896,  107.92379
64, -0.71351,  0.42895,  108.27580
65, -0.71340,  0.42897,  108.32717
66, -0.71285,  0.42896,  107.85544
67, -0.71282,  0.42895,  108.33373
68, -0.71254,  0.42896,  108.17029
69, -0.71303,  0.42896,  107.99839
70, -0.71261,  0.42895,  108.39194
71, -0.71251,  0.42895,  108.16997
72, -0.71260,  0.42895,  108.15949
73, -0.71281,  0.42896,  108.29962
74, -0.71301,  0.42895,  108.70002
75, -0.71254,  0.42896,  108.20320
76, -0.71251,  0.42896,  108.32370
77, -0.71252,  0.42896,  108.18316
78, -0.71297,  0.42895,  108.46361
79, -0.71221,  0.42896,  108.03545
80, -0.71216,  0.42896,  108.16912
81, -0.71251,  0.42895,  108.33191
82, -0.71249,  0.42895,  108.27515
83, -0.71239,  0.42895,  108.09091
84, -0.71245,  0.42895,  108.18755
85, -0.71230,  0.42895,  108.19024
86, -0.71257,  0.42895,  108.35942
87, -0.71210,  0.42896,  108.18496
88, -0.71227,  0.42896,  108.19949
89, -0.71243,  0.42896,  108.27976
90, -0.71228,  0.42896,  108.19740
91, -0.71226,  0.42896,  108.22877
92, -0.71225,  0.42896,  108.24602
93, -0.71241,  0.42896,  108.28996
94, -0.71246,  0.42896,  108.22020
95, -0.71258,  0.42895,  108.26684
96, -0.71251,  0.42895,  108.28087
97, -0.71255,  0.42895,  108.24768
98, -0.71245,  0.42896,  108.21654
99, -0.71247,  0.42896,  108.24581
100, -0.71245,  0.42896,  108.26925
